word,score,district
 ,75.94567105800414,barishal
ই,19.18178796933875,barishal
র,12.956579388222005,barishal
ক,9.964322238487894,barishal
ন,8.279662054151768,barishal
য়া,7.68892741888983,barishal
এ,6.166784203641075,barishal
লা,6.077417882067463,barishal
ম,6.036012049788339,barishal
বা,6.027331881512545,barishal
য়,6.000902593079994,barishal
ও,5.66170254551599,barishal
আ,5.60516783508388,barishal
হে,5.156720654729606,barishal
খা,4.943839289877346,barishal
রা,4.927942810457013,barishal
বে,4.577532247713927,barishal
তা,4.434673669058564,barishal
কা,4.239893787247397,barishal
ডা,4.1376590232295944,barishal
লে,4.129146470570616,barishal
রে,4.1110485792851525,barishal
ল,4.088698794729705,barishal
অ,4.060647513227264,barishal
ত,4.032528652252286,barishal
দে,3.9916881626823906,barishal
নে,3.905853532041839,barishal
মা,3.8653419431488407,barishal
হা,3.794096266589167,barishal
ব,3.7869453800740507,barishal
পা,3.7507544394006307,barishal
ছে,3.7111999110125495,barishal
দি,3.5711707667554253,barishal
ছি,3.488680268470795,barishal
স,3.3978035884399187,barishal
প,3.3044291351244692,barishal
মু,3.282133674594991,barishal
টা,3.233769312850524,barishal
বি,3.2141758912681593,barishal
হ,3.138610487108514,barishal
রি,3.129535834615002,barishal
না,3.0937033956758735,barishal
মো,3.043218607177299,barishal
তে,2.9504090884770475,barishal
গা,2.9203170517510633,barishal
ছ,2.810460981128578,barishal
লো,2.6121173916079274,barishal
গ,2.5967928272481844,barishal
দা,2.5210219827670244,barishal
দ,2.4799339419464284,barishal
