word,score,district
 ,125.92140375535864,chittagong
ই,43.562664993541695,chittagong
র,21.11165621137107,chittagong
ন,18.99877495076615,chittagong
আ,11.292845671743342,chittagong
হ,10.82559570942083,chittagong
ত,10.440181685698514,chittagong
ম,10.264896886277956,chittagong
অ,10.165268419887399,chittagong
এ,9.29540840967479,chittagong
ল,8.789109498688196,chittagong
য়া,8.771893058830496,chittagong
গ,8.583951629101191,chittagong
রি,8.53266266013577,chittagong
লা,8.481929988829593,chittagong
রে,8.167848895915109,chittagong
স,7.966284295005743,chittagong
আঁ,7.840004681854217,chittagong
ও,7.596956933541221,chittagong
দে,7.533127813955057,chittagong
খ,7.507994217213153,chittagong
বা,7.378430978483963,chittagong
তা,7.174328327966242,chittagong
ফ,6.843472702702926,chittagong
রা,6.42528215135034,chittagong
তু,6.340628118982077,chittagong
ক,6.268505983236567,chittagong
দি,6.203095323149113,chittagong
লে,5.848303763069407,chittagong
মা,5.716804546771808,chittagong
ব,5.453220817686304,chittagong
য়,5.282206228003036,chittagong
তো,5.26102136008913,chittagong
জ,5.160619292749051,chittagong
সা,5.123714608957191,chittagong
ফা,5.104329439345883,chittagong
নে,5.098553673034329,chittagong
বি,5.009570096144456,chittagong
উ,4.962913490479697,chittagong
না,4.775253867017312,chittagong
য়ে,4.758601963807942,chittagong
বু,4.733666910510941,chittagong
কি,4.730861756283019,chittagong
যা,4.507748186707618,chittagong
হা,4.412717047704054,chittagong
তে,4.187361006724813,chittagong
ডি,4.175281592898662,chittagong
বে,3.9607109472452726,chittagong
তি,3.947467744481566,chittagong
নি,3.899704330216014,chittagong
