word,score,district
 ,72.6270119014753,habiganj
ই,20.660170266844545,habiganj
র,12.256125001942346,habiganj
বা,8.672622527140415,habiganj
ও,8.645323351962293,habiganj
তা,8.227590757914276,habiganj
ন,8.11831206981155,habiganj
খ,7.755193291224637,habiganj
লা,7.690924656582402,habiganj
ম,6.751210646939833,habiganj
ফ,6.43357034015439,habiganj
রা,6.356319050053122,habiganj
রে,6.153215028028533,habiganj
আ,6.035102038873997,habiganj
টা,5.845972340016954,habiganj
ব,5.23519095228578,habiganj
মা,5.201396088198546,habiganj
খা,4.996142020287789,habiganj
য়া,4.990473372694225,habiganj
দি,4.718710127991933,habiganj
এ,4.689441254216552,habiganj
য়,4.655423466559144,habiganj
লে,4.653654036408012,habiganj
ছি,4.636688462886957,habiganj
ল,4.631052202166135,habiganj
গে,4.552454169789913,habiganj
ক,4.375969035547259,habiganj
গা,3.8673657203690546,habiganj
জা,3.8531265564187245,habiganj
সা,3.7835411250479036,habiganj
ফা,3.747252054265593,habiganj
তো,3.691128254027044,habiganj
বি,3.634211309846376,habiganj
রি,3.5079789820350773,habiganj
কি,3.5039284654319185,habiganj
উ,3.492185745930632,habiganj
স,3.4429057898843864,habiganj
ত,3.4058839671662104,habiganj
লো,3.28672860936451,habiganj
গ,3.198419646522054,habiganj
নি,3.1762923605908555,habiganj
তে,3.0792368443607354,habiganj
ছ,3.0234183502925194,habiganj
ছে,2.991174414434278,habiganj
বে,2.9598281692759274,habiganj
নে,2.8898444993629884,habiganj
ড়া,2.8562099124235902,habiganj
গু,2.848518102970775,habiganj
ফু,2.807449236832621,habiganj
যা,2.8049186138658917,habiganj
