word,score,district
 ,118.97188716685314,kishoreganj
ই,30.131248720982043,kishoreganj
র,21.72905651847023,kishoreganj
ন,13.611036884823813,kishoreganj
ল,12.872023376060225,kishoreganj
ক,12.621022939293933,kishoreganj
ম,12.580704070615525,kishoreganj
লা,11.453684057644663,kishoreganj
য়া,11.169208652831648,kishoreganj
আ,10.371333859112026,kishoreganj
অ,10.157457037042722,kishoreganj
এ,10.010763432582106,kishoreganj
রে,9.587538705918394,kishoreganj
ফ,9.459277972431558,kishoreganj
বা,9.349828953245911,kishoreganj
স,9.27235473310377,kishoreganj
হ,9.183109870656873,kishoreganj
নি,9.034626745060377,kishoreganj
ত,8.329616611687426,kishoreganj
ডা,8.255344443424377,kishoreganj
কা,8.211351314192841,kishoreganj
মা,8.06312519221871,kishoreganj
তা,8.041824667242711,kishoreganj
রা,8.029179641535542,kishoreganj
দে,7.9585592683785675,kishoreganj
না,7.5648345787186475,kishoreganj
দি,6.971591117293352,kishoreganj
ছে,6.77686390080351,kishoreganj
ছ,6.567145697455342,kishoreganj
য়,6.553480097189442,kishoreganj
গা,6.290123549234157,kishoreganj
ব,6.047503096423789,kishoreganj
খা,5.997425148808625,kishoreganj
হা,5.93273702072422,kishoreganj
হে,5.897627013237566,kishoreganj
পা,5.875404969582646,kishoreganj
উ,5.825887281965171,kishoreganj
বি,5.807102660815692,kishoreganj
লে,5.776450593542872,kishoreganj
নে,5.633612533022814,kishoreganj
ও,5.594392061119691,kishoreganj
জ,5.575711332260948,kishoreganj
শ,5.517491806698393,kishoreganj
মু,5.478378843243024,kishoreganj
গ,5.406487909764733,kishoreganj
তে,5.226459948466486,kishoreganj
দ,5.197637609333378,kishoreganj
রি,5.197047304580806,kishoreganj
বে,4.945000033750215,kishoreganj
ফা,4.930692830860875,kishoreganj
