word,score,district
 ,123.35774799273095,narail
ই,24.12777557023658,narail
র,20.44025611366815,narail
ক,15.651219492392638,narail
মা,12.25744215357151,narail
রে,11.687291046362406,narail
বা,10.951262818053491,narail
আ,10.914779825759716,narail
ন,10.804868711772304,narail
ছে,9.965985820472147,narail
স,9.7615184587578,narail
য়,9.686945290592199,narail
এ,9.223718920499143,narail
ম,9.064805312874329,narail
ও,8.868197920462766,narail
নে,8.763270616114836,narail
লি,8.214795689274903,narail
তো,7.950302034114753,narail
দি,7.761111450186219,narail
ল,7.724592987291461,narail
তি,7.547901276580676,narail
লা,7.083103961742576,narail
নি,7.0060657409447025,narail
কা,6.98535166064407,narail
য়ে,6.954103408336391,narail
ছি,6.8447871513919845,narail
ব,6.842265554800669,narail
জা,6.601722734350111,narail
গা,6.508713665839521,narail
পা,6.4313135056485145,narail
গে,6.3473047237849824,narail
হা,6.288130564858947,narail
হ,6.217232660382263,narail
লো,6.216675296000946,narail
জ,6.1610620650861465,narail
অ,6.097804117793008,narail
দে,5.844184960482579,narail
না,5.827118031369659,narail
খা,5.795350654714006,narail
উ,5.758058831857825,narail
য়া,5.754847619380515,narail
রা,5.696256795622706,narail
বে,5.53759299310371,narail
মি,5.536935436445396,narail
তা,5.535798436932565,narail
থা,5.439633510513637,narail
যা,5.394054450663069,narail
টা,5.260087107216078,narail
তু,5.220243215873342,narail
লে,5.093123895438861,narail
