word,score,district
 ,94.09064088120218,narsingdi
ই,24.61759597545824,narsingdi
র,13.605083966397872,narsingdi
ক,9.56215396950812,narsingdi
ন,8.857828121486609,narsingdi
য়া,7.901840720409647,narsingdi
আ,7.778985115672617,narsingdi
লা,7.764916285661147,narsingdi
ম,7.519752127162368,narsingdi
রে,7.433652485255851,narsingdi
এ,7.307166840635093,narsingdi
বা,6.842922742271646,narsingdi
ও,6.422286660785376,narsingdi
ল,6.1759108926882895,narsingdi
স,6.159405084105237,narsingdi
ডা,6.1115527533185166,narsingdi
তা,5.9152018110257645,narsingdi
রা,5.786880174302895,narsingdi
ব,5.707900482774214,narsingdi
দে,5.68774706581191,narsingdi
লে,5.4250132641992055,narsingdi
ছ,5.411692045480966,narsingdi
ছি,5.394049573741784,narsingdi
অ,5.387588285787239,narsingdi
ছে,5.340012242545064,narsingdi
য়,5.277632976316615,narsingdi
মা,5.242358939414341,narsingdi
হ,4.9884478282686695,narsingdi
দি,4.970454063448466,narsingdi
ফ,4.83634235162614,narsingdi
তে,4.449373996089788,narsingdi
গা,4.436900592594895,narsingdi
উ,4.311084284960395,narsingdi
ত,4.277651631119508,narsingdi
গ,4.117347262119931,narsingdi
কা,4.110363020991706,narsingdi
সা,4.104095141473645,narsingdi
না,4.000576010612428,narsingdi
লি,3.8629617779924925,narsingdi
নি,3.843891298901863,narsingdi
বে,3.7336143264675776,narsingdi
খে,3.718543113585031,narsingdi
মু,3.6952000843044095,narsingdi
নে,3.629310995810731,narsingdi
খা,3.6281836702797743,narsingdi
লো,3.617418280746715,narsingdi
ট,3.579343395297522,narsingdi
ফা,3.510497352813564,narsingdi
প,3.5071235033605315,narsingdi
টা,3.4224294360591547,narsingdi
