word,score,district
 ,87.6336977748732,rangpur
ই,18.991032063878894,rangpur
র,13.870831167646143,rangpur
ক,10.73126966259098,rangpur
য়া,8.927327334788213,rangpur
ন,8.540818524439485,rangpur
লা,8.257510072097162,rangpur
ও,7.917654868267718,rangpur
বা,7.790472546689191,rangpur
ম,7.717113288574163,rangpur
কা,7.517528112104027,rangpur
এ,7.179377043330772,rangpur
য়,6.940297018993245,rangpur
আ,6.939492293970892,rangpur
সে,6.480062302218015,rangpur
স,6.47115029968371,rangpur
মা,6.3853332851454025,rangpur
খা,6.181618041640648,rangpur
না,6.135352566017154,rangpur
দি,5.984756115780485,rangpur
হ,5.566409480400259,rangpur
ল,5.386186178658221,rangpur
বে,5.245734253816867,rangpur
জা,5.205041262628185,rangpur
টা,5.139753707069932,rangpur
লে,5.110432165539849,rangpur
ব,5.040552768193197,rangpur
ত,4.975357864248728,rangpur
রা,4.628457805534433,rangpur
রে,4.577915637377561,rangpur
পা,4.518160901787075,rangpur
জ,4.398525533659677,rangpur
গ,4.390624877177897,rangpur
যা,4.276855961351525,rangpur
গে,4.1443709597739815,rangpur
নি,4.135690694325418,rangpur
দে,4.13229675992684,rangpur
অ,4.076629982750342,rangpur
হা,3.939460458498976,rangpur
টে,3.844267366262251,rangpur
ভা,3.765399428881399,rangpur
উ,3.736628923116868,rangpur
লি,3.725326419356332,rangpur
লো,3.723928529513159,rangpur
রো,3.625209947255953,rangpur
ড়ি,3.58993703553151,rangpur
নে,3.583607890904142,rangpur
তো,3.514788864766915,rangpur
প,3.4859881223216433,rangpur
মু,3.4740241879979648,rangpur
