word,score,district
 ,91.95031720350603,sandwip
ই,30.34621012270385,sandwip
র,14.672618878993392,sandwip
ন,12.163745040630895,sandwip
আ,10.528105845912226,sandwip
ক,10.359525045397202,sandwip
য়া,8.895507802004342,sandwip
মা,7.6284673517905475,sandwip
রে,6.952969129020547,sandwip
অ,6.59586472608059,sandwip
হ,6.456457543322397,sandwip
ম,6.286251211462104,sandwip
এ,6.254781119238849,sandwip
লা,6.074235212225991,sandwip
আঁ,5.770669379448511,sandwip
ও,5.529319830590411,sandwip
ল,5.411787459375813,sandwip
দি,5.405672379934838,sandwip
লে,5.211233891492979,sandwip
কা,5.111586881319962,sandwip
ছে,5.0312718446764055,sandwip
হি,4.904060979913831,sandwip
তে,4.7903565251297655,sandwip
স,4.731014819972376,sandwip
নে,4.553677862832443,sandwip
গা,4.4766886090460885,sandwip
বা,4.460188757160286,sandwip
বো,4.402120774679876,sandwip
হে,4.381448921764799,sandwip
রা,4.352321046157932,sandwip
ত,4.350404041069905,sandwip
ব,4.301021993286797,sandwip
হা,4.157922782831798,sandwip
খা,4.132860023895707,sandwip
উ,3.7707588166590407,sandwip
ন্নে,3.6318248960744026,sandwip
নি,3.5932250163462034,sandwip
রি,3.570607969544312,sandwip
গ,3.5649486023673687,sandwip
তা,3.4484969778960277,sandwip
ছি,3.4396789439919226,sandwip
তো,3.4269128550506927,sandwip
যা,3.382893563678891,sandwip
ভা,3.3551619247062088,sandwip
ক্কা,3.3062209482386153,sandwip
চা,3.1887802394279516,sandwip
গে,3.179965948135197,sandwip
হো,3.1593476264855744,sandwip
কো,3.150072022529719,sandwip
ছ,3.0160281146431793,sandwip
