word,score,district
 ,80.0759785185555,tangail
ই,18.824217644689828,tangail
র,16.196784738685018,tangail
ন,10.98327315993466,tangail
ক,8.246257854668062,tangail
অ,7.942009051736304,tangail
স,7.73108356825692,tangail
য়া,7.440626724904098,tangail
রা,6.991385185042846,tangail
ব,6.963656216872421,tangail
রে,6.620654446695976,tangail
আ,6.551499053200597,tangail
এ,6.394409064571774,tangail
ডা,6.334158034543872,tangail
ও,6.218542339980759,tangail
ম,6.038598536220023,tangail
লা,6.037410590378129,tangail
হ,5.972066486424666,tangail
কা,5.80254562806211,tangail
লো,5.628912035967232,tangail
সা,5.509043643687378,tangail
ছে,5.495410391304495,tangail
বা,5.462468652939468,tangail
না,5.458018519309853,tangail
য়,5.347574178893748,tangail
দে,5.243086883351361,tangail
নে,5.17832101381976,tangail
মা,4.974375121215131,tangail
উ,4.9195579612501605,tangail
ছি,4.824602421100872,tangail
প,4.600711812915484,tangail
ডি,4.510806677302569,tangail
পা,4.47713423336512,tangail
লি,4.4552354664844644,tangail
বি,4.452750671172773,tangail
নি,4.445506988215463,tangail
জ,4.323792306510394,tangail
টা,4.251565840756563,tangail
তে,4.25109231076602,tangail
তা,4.24748893001457,tangail
ছ,4.242728369042707,tangail
রি,4.226394994271331,tangail
গা,4.221164980065644,tangail
লে,4.1878454013892314,tangail
ল,4.1791286865739,tangail
খা,3.890603982880947,tangail
ভা,3.8112960701755547,tangail
ট,3.7227263861822633,tangail
দি,3.456396780501431,tangail
হা,3.450407473324536,tangail
