word,score,district
ন,9.728772422244205,chittagong
আঁই,6.307151548009895,chittagong
দে,6.26790409753441,chittagong
তুই,5.526920516299731,chittagong
আঁর,5.514647775530802,chittagong
অ,5.318727148474104,chittagong
ওডি,4.523268934279995,chittagong
দি,4.432437591932067,chittagong
গরি,4.051837553227807,chittagong
এহন,3.9512925044391825,chittagong
হতা,3.7439367805443307,chittagong
লই,3.6352857700056305,chittagong
এডে,3.3883590328931565,chittagong
অই,3.3512926228651563,chittagong
তোর,3.295306493746188,chittagong
তই,3.237141255801945,chittagong
ক্যান,2.9362258327516666,chittagong
অয়,2.923870568656527,chittagong
এন্ডে,2.907180433576236,chittagong
এরি,2.872954407654807,chittagong
বাই,2.626906825118748,chittagong
মোবাইল,2.623331895142874,chittagong
ভালা,2.530077813079773,chittagong
মইদ্যে,2.508832713975256,chittagong
মা,2.4386599759999528,chittagong
ইয়্যিন,2.408889705020533,chittagong
বইন,2.403012108138314,chittagong
সাই,2.312361672736277,chittagong
হ্যালো,2.3111884910751543,chittagong
ইবা,2.2580969744761012,chittagong
হুম,2.2419639156522813,chittagong
লাই,2.1981072800092667,chittagong
বিয়া,2.1740946865571558,chittagong
আঁরে,2.1568650255241604,chittagong
খতা,2.154567347480865,chittagong
ইতে,2.122188550884045,chittagong
তুন,2.1217446252427155,chittagong
ইবে,2.1179547402532126,chittagong
ফরে,2.0447863800771358,chittagong
বই,2.0220939671052705,chittagong
নি,1.9901434149323693,chittagong
অইবু,1.9838780962202085,chittagong
আছি,1.974486661849005,chittagong
কিল্লাই,1.945707916092747,chittagong
ইতি,1.9425719220191309,chittagong
এনে,1.9421506988786472,chittagong
লয়,1.842351006748443,chittagong
আইচ্ছা,1.8032910250819003,chittagong
ইয়ান,1.7939577743255886,chittagong
বড়,1.7636631189042418,chittagong
