word,score,district
বালা,3.879887755749735,habiganj
লাগে,3.6643561012795804,habiganj
কিতা,3.5940080320128063,habiganj
একটা,2.767240906119932,habiganj
এরফরে,2.7186682361397168,habiganj
ইতা,2.606715099302208,habiganj
বাই,2.559460028478692,habiganj
ওখন,2.464757425786228,habiganj
একটু,2.4255822318481832,habiganj
মানে,2.3690074538041648,habiganj
ওয়,2.2997949407641984,habiganj
যায়,2.287944433473127,habiganj
দিয়া,2.230884424639401,habiganj
গিয়া,2.1227021571237183,habiganj
ওইলো,2.0120516603082104,habiganj
মা,1.9758699012746546,habiganj
তিন,1.9700684711075764,habiganj
থিকা,1.9664154618319225,habiganj
তারফর,1.873241644723643,habiganj
তুমার,1.8512651101739694,habiganj
বাল্লাগে,1.8221143455785438,habiganj
ফরীক্ষা,1.7849762012880477,habiganj
বিয়া,1.7843664590905934,habiganj
খালি,1.7828258634940222,habiganj
ইটা,1.771602670407802,habiganj
খয়,1.5873546294680367,habiganj
ওতো,1.5735038461010173,habiganj
আমারে,1.5503833031052296,habiganj
সময়,1.5159487595702752,habiganj
খরে,1.4947430703840687,habiganj
খই,1.470916334906449,habiganj
খইরা,1.4588263777549872,habiganj
বালোই,1.444901368260649,habiganj
বই,1.4393667778150463,habiganj
লাইগগা,1.4321952689460309,habiganj
ফরে,1.4262068957933207,habiganj
পূজা,1.4107392450255816,habiganj
কুন,1.404187501106294,habiganj
লবণ,1.401642981083428,habiganj
তে,1.3759173267127813,habiganj
ফুল,1.3756021137371963,habiganj
ছুডু,1.346192750855895,habiganj
গাছ,1.3267744498672869,habiganj
কেরে,1.3076228744876017,habiganj
খরি,1.2858344765158134,habiganj
তুই,1.2725050985514277,habiganj
ওইছে,1.2589158126142874,habiganj
লইয়া,1.2566890404824207,habiganj
আজকে,1.2379459578055796,habiganj
ছবি,1.2301393486808745,habiganj
