word,score,district
অর্থ,5.3907977218180845,kishoreganj
লাল,4.941004417674783,kishoreganj
এইযে,4.075294690685965,kishoreganj
সবুজ,3.9493892934338133,kishoreganj
পানি,3.8722216535047482,kishoreganj
হ,3.730758178572834,kishoreganj
এইডা,3.5225328352469596,kishoreganj
ফরে,3.2151011075350637,kishoreganj
রঙের,3.199899908213631,kishoreganj
হ্যাঁ,3.166694700225922,kishoreganj
দিয়া,3.0606001373232625,kishoreganj
হুম,2.8439747184000552,kishoreganj
ফর,2.821301081664236,kishoreganj
খায়,2.8163842916795785,kishoreganj
অহন,2.710694861811026,kishoreganj
তে,2.688843230245469,kishoreganj
ছবি,2.6843676421733957,kishoreganj
ভাগ,2.6511912970443703,kishoreganj
হলুদ,2.5692601675319517,kishoreganj
অইছে,2.424172442768728,kishoreganj
খাদ্য,2.3934826680709604,kishoreganj
তুই,2.3766355380477253,kishoreganj
একটা,2.3191863933646175,kishoreganj
কালার,2.24548730729279,kishoreganj
তরমুজের,2.1442221907821564,kishoreganj
বিশ,2.119394797941622,kishoreganj
ছাউ,2.1175964658820865,kishoreganj
কই,2.087587129093315,kishoreganj
কমলা,2.0768444762013876,kishoreganj
ট্যাহা,2.0331669584589354,kishoreganj
আম,2.018859780136478,kishoreganj
কলা,2.0051184199594503,kishoreganj
সত্তর,1.942800315917423,kishoreganj
দানা,1.9410372829933862,kishoreganj
অয়,1.8992942482947626,kishoreganj
লাগে,1.888077570124217,kishoreganj
ডালিমের,1.8737501864582211,kishoreganj
অর্ত,1.8644990288337686,kishoreganj
ফানি,1.86397497783675,kishoreganj
অরেঞ্জ,1.8634659834767857,kishoreganj
বাঙ্গী,1.852480889077391,kishoreganj
কাটাল,1.8506894145640207,kishoreganj
উদ্ভিদ,1.8315620119075398,kishoreganj
মাটি,1.8260331815369224,kishoreganj
ইয়া,1.8219930856580127,kishoreganj
নামাজ,1.8192333769950062,kishoreganj
হে,1.7995221183954082,kishoreganj
টুকটুকে,1.7303004397143562,kishoreganj
লগে,1.7057538815034237,kishoreganj
দে,1.6865598813313278,kishoreganj
