word,score,district
এলা,4.302218962161497,rangpur
দিয়া,3.932104729118491,rangpur
রোজা,3.3793615400151653,rangpur
টাকা,3.0596223349531098,rangpur
ভালো,2.9978484060871615,rangpur
মুই,2.9850833751142853,rangpur
আসে,2.7752803136813844,rangpur
হইসে,2.5356065994065617,rangpur
দেয়,2.4814128380938008,rangpur
খালি,2.4265447694391895,rangpur
কয়,2.260561264267748,rangpur
তাইলে,2.216298113692379,rangpur
মাছ,2.1967828793905175,rangpur
হইলো,2.1554156538050044,rangpur
মেলা,2.150486550815949,rangpur
মোর,2.0559469259048795,rangpur
ইয়া,2.013165538062232,rangpur
থাকি,1.980893507196224,rangpur
তুই,1.968166715511138,rangpur
যায়,1.9477545370144977,rangpur
একটা,1.908229848981953,rangpur
বাড়িত,1.9071592631711098,rangpur
বউ,1.8423451293762036,rangpur
কথা,1.8374480700153681,rangpur
এটে,1.8177894434213315,rangpur
খাওয়া,1.7914359033503215,rangpur
রমজান,1.7542560826285682,rangpur
গেইসে,1.727556405732521,rangpur
একনা,1.723196435647572,rangpur
ওটে,1.717597124090676,rangpur
মাও,1.6869538660385266,rangpur
হ,1.6864577330795751,rangpur
দিসে,1.6665079384760235,rangpur
কোটে,1.6625659674284876,rangpur
আইজকা,1.6605410178948161,rangpur
ভাই,1.6484361861132155,rangpur
তোর,1.6370219903329268,rangpur
হইলে,1.6267962093999944,rangpur
পায়,1.567651576482147,rangpur
দাম,1.541963728767897,rangpur
চায়,1.5256057547657913,rangpur
শাক,1.5061082017541387,rangpur
বাড়ি,1.4948436767697373,rangpur
কেমন,1.4930809396059828,rangpur
হামার,1.467354554276502,rangpur
যায়া,1.4670767621726313,rangpur
ফোন,1.456015922922007,rangpur
টেকা,1.4219907672311423,rangpur
কাম,1.4193924374230362,rangpur
খাবার,1.395420834588393,rangpur
